CitizenID,Name,Age,AddressID,TaxID
365796191,Michael Murphy,45,A013,T201
274965114,Charles Benson,69,A214,T816
702448056,Brandon Bray,51,A554,T945
198510883,Brent Foster,59,A783,T316
915533552,John Stone,61,A423,T204
888199018,Tracy Gibson,71,A971,T054
719166558,Mary Juarez,61,A868,T677
468725746,Kathleen Green,52,A428,T990
322032870,Mrs. Stephanie Rivera,46,A615,T024
103791082,Ariel Rhodes,39,A875,T222
109917245,Amy Mckinney,43,A928,T286
540352221,Adam Bennett,44,A593,T218
612087771,Karla Reeves,41,A204,T338
325895455,Marie Neal,62,A788,T744
905801127,Traci Johnson,65,A859,T572
613225953,Tracy Mills,39,A246,T331
254390806,Amanda Pittman,51,A700,T589
856212155,Christina Reynolds,47,A882,T702
487100845,Tanya Winters,76,A953,T919
856815028,Dr. Jeanette Patel,57,A193,T877
766586445,Kelly Proctor,77,A048,T645
136019628,Charles Johnson,36,A569,T600
539241167,Judy Edwards,46,A743,T230
501635381,Brian Brooks,71,A535,T801
281562114,Brandon Cochran,72,A268,T878
919209495,Robert Wilson,37,A992,T324
683530370,Thomas Armstrong,43,A629,T447
728051615,Alexandra Ashley MD,65,A763,T819
584575971,Timothy Hamilton,52,A354,T359
893040977,Bryan Williams,61,A701,T037
944064546,Kyle Hunt,66,A879,T878
973077681,Katrina Daniels,48,A806,T510
968295992,Doris Acosta,74,A680,T976
456967498,Ashley Petersen,70,A742,T794
883046776,Jessica Santana,50,A616,T181
591101855,Joel Gomez,57,A181,T886
143536531,Kimberly Jones,68,A434,T777
409597545,Laura Warren,28,A928,T740
339292741,Danielle Ortiz,80,A966,T106
850709364,Laura Holland,24,A515,T890
672210989,Juan Hernandez,21,A699,T556
176701754,Christine Gonzalez,66,A456,T682
559368499,Lisa Price,35,A599,T935
315100598,James Knight,43,A355,T539
761669777,Emily Sullivan,21,A436,T784
766679930,Krystal Davis,33,A161,T711
887493203,Ms. Lisa Lowe,46,A474,T496
961005926,Michelle Owens,74,A153,T785
262619459,John Willis,23,A028,T475
128257458,Michael Browning II,67,A732,T578
879265788,Jenna Thompson,76,A849,T770
864997904,Julia Robinson,74,A680,T897
421840837,Edwin Murphy,56,A138,T517
424702624,Tanner Thomas,23,A783,T132
733579742,Sheri Wiggins,52,A368,T899
822721029,Matthew Brown,49,A732,T789
335499455,Edward Ingram,46,A166,T067
633192563,Alexander Zuniga,48,A883,T742
745481228,Keith Barr,72,A203,T437
101679913,Virginia Hull DVM,61,A576,T428
577372809,Aaron Jones,63,A494,T503
713628593,Joy Washington,61,A119,T294
295999644,Jesse Mccarthy DDS,44,A072,T894
332032039,Sheila Gonzalez,32,A973,T548
995667809,Chad Turner,66,A190,T676
105681083,Teresa Mack,79,A474,T105
528752194,Pam Tran,56,A398,T067
108334433,Candice Duffy,72,A720,T206
696614188,Gabrielle Wilson,24,A163,T781
801828998,Stacy Fox,43,A582,T218
155870048,Charles Anderson,37,A243,T449
363657694,Jacob Potter,22,A984,T043
756059329,Teresa Leach,38,A376,T038
592319522,Carolyn Morales,45,A418,T011
900436885,Tammie Adams,36,A087,T258
172131389,Tara Craig,54,A594,T065
256484578,Andre Velazquez,77,A707,T914
117160677,Brittney Edwards,47,A861,T008
820142030,Kyle Spears,73,A230,T989
393106569,Tracy Doyle,33,A781,T809
932849629,Christian Farmer,63,A963,T278
620774005,Brian Mcdonald,78,A171,T272
252252176,Pamela Zuniga,26,A473,T998
559776407,Sherry Burns,31,A1000,T145
304377286,Susan Jones,63,A475,T439
842732026,Timothy Thornton,43,A429,T151
761385193,Ann Vaughn,20,A186,T251
745243153,Timothy Camacho,66,A605,T303
877559824,Christopher Mason,19,A935,T366
325502966,Victoria Smith,57,A655,T015
500918722,Kenneth Green,26,A777,T442
237076338,Carl Brown,71,A661,T538
278739966,Shelia Garcia,59,A158,T152
188018019,Jamie Stephens,64,A617,T987
900738962,Mrs. Dawn Moore MD,79,A021,T639
499948901,Dillon Liu,65,A441,T797
220761162,Shane Hamilton,45,A445,T051
999250304,Alexandra Greene,25,A794,T014
481353230,Bailey Torres,65,A353,T023
646712400,Nicholas Jackson,33,A596,T323
205976385,Kenneth Schneider,48,A438,T473
930259765,Renee Adams,18,A848,T325
539848390,Joshua Ramirez,34,A080,T922
171964452,Carol Maldonado,19,A604,T697
346626332,Jacqueline Murillo,71,A202,T955
406714318,Helen Taylor,56,A462,T132
896148410,Cynthia Porter,80,A596,T587
327575603,Thomas Green,34,A390,T278
957692336,Matthew Foley,71,A844,T284
639002865,Rickey Rodriguez,69,A641,T699
707509387,Gabriel Patterson,62,A284,T263
802639650,Cheyenne Brown,70,A313,T304
810879723,Traci Delgado,30,A251,T254
657315454,Timothy Barber,63,A862,T119
314120272,Dr. Kevin Schroeder,60,A924,T307
292554853,Joseph Fischer Jr.,59,A672,T624
746992581,Mary Odonnell,58,A757,T786
652641938,Laura Gregory,78,A446,T805
376940084,Christopher Watkins,32,A521,T628
827742710,Amanda Crosby,70,A965,T230
499512173,Elaine Adams,30,A011,T532
681644840,Jose Sullivan,44,A090,T171
807577829,David Miller,61,A092,T028
488707980,Michelle Ferguson,55,A542,T854
907215114,Julie Hansen,68,A144,T397
563799691,Wayne Ellis,72,A066,T180
119182018,Justin Holt,77,A281,T845
846413794,Mary Cisneros,30,A904,T882
236599923,Tamara Smith,80,A675,T603
220242931,Juan Dawson,39,A493,T799
911276832,Savannah Brown,58,A163,T423
624371082,Christina Olsen,35,A432,T639
580408454,David Webb,67,A217,T492
