employee_id,first_name,last_name,email,job_title,hire_date,address,phone_number
E001,Patty,Brown,qwhite@example.org,"Psychologist, forensic",2023-08-13,"9698 Perez Shores
East Robertfurt, MI 51618",(909)428-4710
E002,Nicole,Velez,johnrivera@example.net,Theatre manager,2023-02-07,"06782 Sheena Inlet
North Jamieside, CA 98570",+1-358-507-2661x543
E003,Krista,Owens,sheila04@example.net,Museum/gallery conservator,2023-08-20,"7125 Charles View
Leebury, ND 01933",(546)726-2200x446
E004,Suzanne,Lowery,rebeccaramsey@example.com,"Civil engineer, contracting",2021-06-08,"421 Dominguez Island Apt. 815
Perezton, VT 66336",001-646-966-7480x2064
E005,Tracy,Perez,mossjanet@example.com,Therapeutic radiographer,2024-01-28,"3998 Barber Burgs
Desireefort, VT 48823",800.836.8397x85834
E006,Cameron,Mcdaniel,ymcpherson@example.com,"Editor, magazine features",2022-02-09,"188 Adams Ville
Johnsonhaven, AL 22142",001-806-502-5017x34541
E007,Rebecca,Nelson,steven53@example.net,Aeronautical engineer,2021-01-15,"1549 Kirk Cliffs Suite 789
North Angela, NY 11228",868.620.8614x55036
E008,Jennifer,Stephens,zlucas@example.org,Exhibition designer,2022-04-05,"500 Joseph Overpass
Holdenmouth, IL 80180",936-928-1928x72223
E009,Barbara,Woodward,ylee@example.net,Photographer,2022-03-11,"5282 Juarez Fall Suite 895
South Carolburgh, SD 27279",219-305-2177x08510
E010,Edward,Morris,mhill@example.com,"Surveyor, quantity",2021-02-24,"8847 Eric Street Apt. 771
Alyssafort, MI 13481",001-453-702-7708x26871
E011,James,Campbell,david39@example.net,Public affairs consultant,2023-09-07,"716 Eduardo Motorway Suite 260
Pearsonland, MP 12107",5026823256
E012,Tonya,Turner,tbryant@example.org,"Scientist, biomedical",2023-08-11,"99457 Livingston Greens Apt. 044
South Nathan, MP 59635",+1-420-218-4754x02454
E013,Amy,Mccarty,fkirby@example.com,Broadcast presenter,2023-05-18,"549 Antonio Springs Suite 625
North Andreaberg, CA 70225",001-746-380-1098
E014,Kevin,Roy,vrobbins@example.org,Dentist,2024-01-10,"39976 Brenda Green Apt. 616
West Travistown, NE 36851",674-629-7436x9795
E015,Yolanda,Murillo,bradley27@example.org,"Accountant, chartered public finance",2020-06-02,"5303 James Meadow
Port Rebecca, OH 09421",(639)640-4311x557
E016,Bradley,Cole,jeremy01@example.org,Radio broadcast assistant,2019-12-17,"934 Hernandez Oval Suite 523
Jamiehaven, AL 94295",(815)943-5357x6854
E017,David,Rocha,john97@example.net,"Scientist, research (medical)",2022-06-10,"896 Garrett Fords
Serranoport, ME 41627",601-479-7325x87039
E018,Andrea,Peterson,angela78@example.org,"Engineer, production",2022-03-23,"05726 Davis Fork
New Jessicamouth, OH 81304",(652)939-0410x2116
E019,Elizabeth,Drake,katie78@example.org,Marine scientist,2019-05-03,"PSC 4483, Box 1678
APO AP 28775",343.701.9905
E020,Louis,Wheeler,alvarezstephanie@example.com,Further education lecturer,2020-05-01,"5590 Dean Square
West Denise, NE 55643",746.787.0753x99331
E021,Jeffrey,Ramos,oanderson@example.net,Advertising account executive,2023-04-06,"25062 Sanchez Burgs Suite 436
Lake Austinberg, NY 93969",+1-664-394-9120x04697
E022,Tina,Rice,jessicaguzman@example.com,Veterinary surgeon,2022-01-13,"980 Timothy Circle
Lake Angelaview, NY 47651",001-601-814-1902
E023,Kimberly,Harris,dawnpatel@example.net,Retail manager,2021-01-11,"0931 Patterson Underpass Suite 877
New Chelsea, GA 32921",720.206.9556
E024,Colleen,Spencer,martinezmichael@example.com,Retail merchandiser,2020-03-25,"968 Mcgee Prairie Suite 927
Edwardsville, ND 03074",628.741.3904
E025,Kimberly,Thompson,mjensen@example.org,Textile designer,2023-07-28,"833 Walton Islands
Barnesfort, MN 75035",(971)543-6448x9665
E026,Jenna,Kennedy,catherinefields@example.net,Product designer,2020-06-16,"493 Johnson Lake Suite 446
Whitebury, WI 46137",001-363-292-0433x29927
E027,Anna,Horne,laurenmcmahon@example.net,Osteopath,2021-04-04,"20761 Huber Glen
New Stuart, CO 18150",606-289-5237x056
E028,Elizabeth,Holland,osalazar@example.net,"Producer, television/film/video",2019-06-27,"473 Garcia Gardens
New Felicia, DE 91809",328.220.3536x472
E029,Shirley,Henderson,susan60@example.net,Paramedic,2022-01-21,"477 Tony Parks
Danielburgh, CT 54772",642.487.5847x44361
E030,Matthew,Stevens,stoutjames@example.org,"Engineer, structural",2023-04-23,"7010 Phillips Roads
Charlesshire, IA 49458",813-236-3041x1710
E031,Mark,Rollins,vparks@example.org,Aeronautical engineer,2019-07-02,"760 Rhodes Plains Apt. 304
Jasonland, MN 07042",871-330-4646
E032,Misty,Reed,sandra67@example.com,Manufacturing systems engineer,2022-05-01,"0843 Hurst Lane Apt. 135
New Judy, MS 90243",816-752-3502x91878
E033,Christina,Kline,uriley@example.com,"Teacher, music",2021-10-16,"181 Darius Viaduct
West Rebecca, PW 72832",613-907-7360x7546
