customer_id,name,phone_number,address,plan
C001,Laura Adams,812.501.5371,"0582 Baker Fall
Angelahaven, PW 05852",Prepaid
C002,Jill Cook,001-364-995-0287x73620,"297 Alan Ranch Apt. 917
New Nicole, RI 07589",Postpaid
C003,Meghan Meyer,(491)798-6932x19526,"29438 Chavez Street Suite 585
Desireebury, MA 27654",Prepaid
C004,Chase Stone,854-219-1604x5904,"5415 Davis Run
Jeremychester, AK 67093",Postpaid
C005,Lynn Cook,590.690.4116x8769,"66829 Torres Squares Apt. 989
Lake Kevin, VA 25006",Postpaid
C006,Haley Vance,001-586-433-0936,"6872 Charles Center
Amberburgh, NY 99873",Prepaid
C007,Pamela Brown,8618847052,"69314 Chase Course
Jonestown, WV 81488",Postpaid
C008,Katherine Banks,947.425.7556x72021,"Unit 1686 Box 9473
DPO AA 30095",Postpaid
C009,Lucas Gilbert,4124639403,"PSC 1329, Box 4592
APO AP 55960",Postpaid
C010,Katherine Bell,(910)658-2349,"7671 Jonathan Alley
East Margaret, SC 58030",Prepaid
C011,Lynn Graham,(628)432-8787x6420,"0074 Rivera Plain Suite 869
South Ronald, PW 70327",Postpaid
C012,Isabella Rojas,001-617-512-4282x409,"1599 David Ways Suite 968
Juanhaven, ND 19085",Prepaid
C013,Ashley Rodriguez,4023424583,"4935 Mcguire Meadows Suite 955
New Brandonberg, LA 12798",Postpaid
C014,Richard Petersen Jr.,912.877.9573x08252,"74762 Becky Point Apt. 798
New Jamestown, HI 78464",Prepaid
C015,Eric Mcintyre,(713)960-7734,"Unit 5931 Box 8351
DPO AP 48200",Prepaid
C016,Vincent Perez,932-634-9813,"6259 Wright Bypass Suite 194
Port Meagan, MO 79840",Postpaid
C017,Sue Ryan,(479)418-1751x6561,"0020 Craig Spur Suite 858
North Paulville, OH 27056",Postpaid
C018,Ann Baker MD,9446225513,"426 Parker Springs Apt. 048
East Katherineburgh, KS 57704",Prepaid
C019,Anne Newton,001-917-719-4294x0992,"637 Brian Rue Suite 396
Tammyhaven, ND 31376",Prepaid
C020,Cameron Wagner,(439)823-9951x0159,"765 Jose Union Suite 479
East Eric, LA 65704",Postpaid
C021,Jose Thomas,779.883.4091x095,"21786 Schwartz Motorway Suite 625
North Kurt, OR 83904",Prepaid
C022,Lisa Harris,+1-645-372-0249x8974,"31105 Jamie Streets
Danielmouth, NC 24977",Prepaid
C023,Kevin Jones,(431)357-1882x038,"43327 Elijah Cliff
South Tamiport, MO 70663",Prepaid
C024,Allen Huffman,524-395-3469x82281,"PSC 6591, Box 4378
APO AA 41769",Prepaid
C025,Mark Walsh,(928)776-3415x717,"USS Blake
FPO AE 04684",Postpaid
C026,Laurie Rodriguez,001-880-527-5389x624,"1101 Kramer Plain Suite 508
Matthewtown, ND 13872",Prepaid
C027,Ashley Higgins,+1-704-241-6622x711,"197 Miller Turnpike
Alexville, WY 17011",Prepaid
C028,John Deleon,001-494-564-8045x72961,"3728 Mary Spring
Tinamouth, MA 12651",Postpaid
C029,Tina Bowen,826-811-8458x51869,"024 Kathleen Skyway
Lisahaven, VT 12166",Prepaid
C030,Perry Thompson,458.834.9085x2495,"PSC 5221, Box 6687
APO AP 66596",Prepaid
C031,Theresa Kim,624.878.8947,"29206 David Bridge
Perrybury, OR 47230",Postpaid
C032,Joanna Powell,206-559-1306x502,"6180 Sarah Roads
Olsenfurt, AZ 07923",Postpaid
C033,Brenda Cook,(830)674-0051,"76428 Glover Fall Suite 702
Hallborough, KY 07278",Postpaid
C034,Carla Huang,(961)325-5856,"04994 Steven Passage Apt. 713
Lake Kristineshire, MN 79197",Prepaid
C035,Nicole Ortiz,(784)394-8866,"2815 Russell Valley Apt. 901
Annafurt, VA 50220",Prepaid
C036,Shawn Williams,568-383-3509x8636,"43230 Lindsey Port Apt. 248
West Kristaport, NJ 69907",Prepaid
C037,Scott Howe,001-592-483-1068,"USNS Matthews
FPO AE 87535",Prepaid
C038,Steven Lee,368-300-0197,"37816 Jones Garden
Danielburgh, FL 35160",Prepaid
C039,Charles Morales,001-724-611-2614,"419 Jennifer Park Apt. 558
Mitchellberg, NV 30573",Prepaid
C040,Julie Higgins,(288)286-5096x9120,"9713 Nichole Oval
Daltonshire, OH 72829",Postpaid
C041,Brian Ward,964.655.2015x9301,"0447 Madeline Manor
East Melissaview, GU 52359",Postpaid
C042,Anthony Wilson,214.371.6447,"0644 Fletcher Manor Apt. 656
Scottfort, DE 45935",Prepaid
C043,Mark Choi,5724013478,"898 Thomas Mill Apt. 047
South Timothy, WI 06310",Postpaid
C044,Taylor Hubbard,694-733-0797,"74163 Michael Ports Suite 397
Richardport, VI 96275",Postpaid
C045,Alex Newton,5574061741,"51165 Willie Harbor Apt. 500
Fosterstad, NH 09551",Postpaid
C046,Jamie Foster,+1-255-579-7355x15057,"27083 Eric Throughway Suite 001
Port Jeffreyview, DC 61677",Postpaid
C047,Julie Hansen,001-816-996-3831,"7863 Levy Club
Cindychester, NV 27498",Prepaid
C048,Cole Palmer,690.807.0686x08204,"4918 Reeves Ports
Alexland, GU 87962",Postpaid
C049,Debra King,001-798-922-0110x9984,"9542 Kristina Hills
Househaven, AK 47135",Prepaid
C050,Kimberly Morrison,(500)757-8841,"8762 Kimberly Circles
Port Bettyberg, CO 39171",Postpaid
C051,Jay Cobb,865.223.0346x026,"225 Donaldson Common
South Philip, NE 45016",Postpaid
C052,Cheryl Gibbs,838.870.0402x392,"907 Stephens Trafficway
Lake James, MI 23740",Prepaid
C053,Amy Long,473.555.1401,"2907 William Mountain
Port William, ID 69050",Postpaid
C054,Ann Cohen,6527740431,"545 Myers Freeway
North Tiffany, SC 49457",Prepaid
C055,Richard Jordan,290-215-0534x24710,"494 Tina Village
Wellsstad, CO 14726",Postpaid
C056,Rickey Harrington,219-581-4000x13755,"18018 Adam Walk
Jasontown, PW 71307",Postpaid
C057,Kristy Sanders,(979)918-3901x856,"754 Brian Locks Suite 644
Jorgemouth, MA 34687",Prepaid
C058,Cory Kelley,001-461-401-7398x171,"USS Campbell
FPO AA 83697",Prepaid
C059,Bethany Martinez,001-784-577-3042x0971,"805 Tate Lock
East Tylerberg, MT 83914",Postpaid
C060,Amanda Manning,842-660-7343,"0833 Elizabeth Drive Suite 907
Bethshire, TN 46783",Postpaid
C061,Clinton Hester,505-215-8054x56380,"34319 Arnold Stravenue Apt. 340
West Michael, AS 61180",Prepaid
C062,Angela Mendez,(411)353-0048x0586,"067 Guerrero Shore Apt. 097
New Shannon, GA 17582",Postpaid
C063,Taylor Cook,576-593-0494x7871,"645 Brown Highway
New Kimberlyberg, UT 73922",Postpaid
C064,William Robinson,675.614.1859,"Unit 5051 Box 7430
DPO AP 06330",Postpaid
C065,Dawn Tran,(905)433-9211x49973,"38398 Lonnie Brooks
Lake Lucas, MI 57133",Postpaid
C066,Rachel Owens,(531)303-4229x9910,"563 Smith Mountain Suite 072
East Nicholasfort, IA 39004",Postpaid
C067,Stacy Barnett,584.641.5129,"4372 Brown Squares
Port Richardville, KY 52836",Postpaid
C068,Alexander Coleman,(715)818-4744x490,"885 Lee View
Curtistown, HI 60333",Prepaid
C069,Emily Santos,295-845-8448x89819,"736 Jeffrey Trail Suite 420
Adamshire, IL 49615",Postpaid
C070,Larry Alvarado,(850)820-0341x7642,"0182 Delgado Port Suite 621
Alexanderport, UT 37628",Prepaid
C071,Stephen Whitaker,632-809-7769x51849,"7895 Tran Parks
South Meganchester, MH 53840",Postpaid
C072,Jared Bell,7614838106,"8715 Johnson Port
East Nicolasburgh, NM 98325",Prepaid
C073,David Nash,001-570-628-9343,"45714 White Underpass
West Peter, ND 80310",Postpaid
C074,Mary Cortez,001-464-722-0679x08505,"8833 Phelps Inlet Suite 390
Port Joelview, NJ 46082",Postpaid
C075,Bethany Morgan,7655832574,"0436 Adams Crossing
East Tammyfurt, RI 08185",Prepaid
C076,Timothy Gibson,2707063514,"52589 Amanda Club
Port Susanberg, NY 93815",Prepaid
C077,Austin Taylor,+1-771-956-7572x774,"798 Veronica Crescent Suite 128
Jonesstad, CO 32980",Prepaid
C078,Susan Page,221-699-5505x0559,"756 Page Knoll Apt. 682
Mooretown, GU 72211",Prepaid
C079,Stephanie Taylor,701.755.8158x270,"914 Jacqueline Rapids Apt. 305
Leeville, NH 53169",Postpaid
C080,Christina Williams,(302)599-5399x889,"689 Johnson Mountains Suite 002
South Williamside, AZ 29782",Postpaid
C081,Rachel Kline,(365)342-4588x0677,"66991 Sanchez Field
New Carolyn, OR 05966",Prepaid
C082,Gina Blackwell,(772)643-7171x67837,"9515 Perez Field
South Abigail, UT 31174",Postpaid
C083,Kelli Gonzalez,798.305.1475,"84245 Martin Ridge Suite 621
Williamville, WY 95300",Prepaid
C084,Margaret Stevens,206.909.0547,"2928 Fisher Highway
Amandaborough, NV 51586",Postpaid
C085,Kathy Thomas,813-784-1985,"79725 Kyle Pike
Lake Ryan, CO 52182",Postpaid
C086,Rachel Taylor,975.438.8796x19452,"22165 Moreno Course Apt. 121
Michelleborough, AS 43957",Prepaid
