line_id,customer_id,number,activation_date
L001,C196,(966)412-7058,2021-03-08
L002,C459,(551)408-8783x94827,2020-12-22
L003,C265,(790)229-1573,2022-05-25
L004,C537,(570)549-6028x52043,2019-04-14
L005,C238,487.806.4476x81423,2022-09-09
L006,C091,(446)486-6507x265,2023-12-17
L007,C851,859-337-5790,2019-04-25
L008,C455,(551)408-8783x94827,2021-03-27
L009,C046,219.424.4068,2020-12-16
L010,C155,(711)594-2823,2023-07-24
L011,C324,+1-255-579-7355x15057,2021-07-18
L012,C690,001-798-922-0110x9984,2020-09-12
L013,C936,+1-469-226-1475x31603,2023-07-24
L014,C221,335.871.3939x5579,2020-02-10
L015,C514,214.961.3372,2021-01-04
L016,C672,(440)220-4354x6505,2019-02-26
L017,C876,(266)960-4656x9617,2020-03-24
L018,C842,001-956-970-3716x648,2019-06-02
L019,C080,781-325-1334x982,2023-09-18
L020,C157,+1-419-455-7180,2022-09-29
L021,C731,(928)776-3415x717,2019-10-15
L022,C700,8155840967,2021-10-04
L023,C829,001-832-778-3450x843,2019-03-02
L024,C441,+1-594-643-0941x788,2022-11-15
L025,C675,+1-705-826-7634x684,2020-05-23
L026,C876,001-680-379-8896x10187,2020-04-06
L027,C867,+1-756-813-0770x432,2021-10-21
L028,C092,001-495-403-2119x5067,2023-05-13
L029,C017,+1-329-923-6629,2021-02-05
L030,C239,(455)639-3554x40388,2022-06-26
L031,C455,4715017004,2020-03-03
L032,C080,533-952-9756,2022-05-05
L033,C138,397-458-4143x392,2021-12-07
L034,C471,001-705-509-3183x516,2019-09-03
L035,C274,633.819.3314x16677,2023-12-20
L036,C998,+1-822-499-1647,2022-10-07
L037,C992,491.503.3657x299,2021-06-09
L038,C867,(888)866-9791x6940,2024-01-16
L039,C734,+1-502-871-0969x00183,2021-08-08
L040,C158,(979)918-3901x856,2021-01-16
L041,C542,(995)638-8255,2024-01-05
L042,C782,+1-269-237-2408x4070,2022-12-30
L043,C589,(315)832-3820,2019-03-01
L044,C336,612.411.2345x5012,2020-01-24
L045,C238,(813)263-0793x0494,2022-09-13
L046,C263,+1-872-497-0918x785,2021-12-22
L047,C236,978.305.5298,2021-01-09
L048,C368,932-634-9813,2021-04-12
L049,C109,001-227-340-9749x14434,2023-12-07
L050,C781,(649)255-1843,2020-05-25
L051,C140,001-609-219-4582x0362,2019-06-04
L052,C758,(836)256-9353x05460,2019-04-28
L053,C405,779.883.4091x095,2021-06-28
L054,C405,(861)560-6803,2024-01-26
L055,C953,273.674.5507,2020-07-17
L056,C505,001-205-901-4683,2019-05-11
L057,C040,+1-353-490-2380x67346,2022-09-03
L058,C527,001-728-850-9475x67229,2023-11-26
